"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Metronidazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|Myometrium|Metronidazole|Tissue [µmol/l]","Organism|Endometrium|Metronidazole|Tissue [µmol/l]"
0,3810,58.50075,42.15661,41.89544
0,3825,57.42681,41.384457,41.129215
0,3840,56.3757,40.628765,40.378242
0,3855,62.52192,45.400047,49.149395
0,3870,77.521645,58.59879,62.741547
0,3885,87.87272,67.50692,69.41885
0,3900,92.24137,70.377914,70.676025
0,3915,93.13408,70.0221,69.64777
0,3930,92.43862,68.54174,67.98395
0,3945,91.09451,66.84954,66.28714
0,3960,89.50757,65.23225,64.70966
0,3975,87.84252,63.73931,63.257217
0,3990,86.16486,62.35307,61.90256
0,4005,84.50082,61.04692,60.619724
0,4020,82.86122,59.8002,59.390556
0,4035,81.250824,58.599392,58.2037
0,4050,79.67181,57.436222,57.052303
0,4065,78.12521,56.305717,55.93225
0,4080,76.61148,55.20481,54.84096
0,4095,75.13069,54.131535,53.776745
0,4110,73.68272,53.084515,52.738384
0,4125,72.26726,52.06273,51.72494
0,4140,70.88392,51.065342,50.73563
0,4155,69.53222,50.091637,49.76977
0,4170,68.21162,49.140976,48.82674
0,4185,66.921555,48.21276,47.905968
0,4200,65.661446,47.30644,47.006893
0,4215,64.43019,46.421135,46.12823
0,4230,63.225014,45.554413,45.26768
0,4245,62.0461,44.70644,44.42602
0,4260,60.89324,43.877266,43.603104
0,4275,59.766052,43.06664,42.79864
0,4290,58.664116,42.27427,42.01233
0,4305,57.587006,41.499836,41.243843
0,4320,56.532795,40.741913,40.49065
0,4335,62.676018,45.511036,49.25969
0,4350,77.67292,58.707767,62.84987
0,4365,88.02125,67.613945,69.52522
0,4380,92.38717,70.48299,70.78044
0,4395,93.27719,70.12524,69.75026
0,4410,92.57908,68.64296,68.08453
0,4425,91.23236,66.94888,66.38585
0,4440,89.642845,65.329735,64.80653
0,4455,87.97529,63.83498,63.352283
0,4470,86.29515,62.446953,61.995853
0,4485,84.62867,61.139057,60.711277
0,4500,82.986694,59.890617,59.480404
0,4515,81.373955,58.68812,58.29187
0,4530,79.79265,57.523296,57.138832
0,4545,78.2438,56.391167,56.017162
0,4560,76.72785,55.288666,54.92429
0,4575,75.244896,54.21382,53.858517
0,4590,73.794785,53.165268,52.81863
0,4605,72.377235,52.14197,51.803684
0,4620,70.99184,51.143105,50.812904
0,4635,69.63812,50.16795,49.8456
0,4650,68.315544,49.215862,48.901157
0,4665,67.023544,48.286247,47.978992
0,4680,65.76152,47.378555,47.078556
0,4695,64.528404,46.491905,46.19856
0,4710,63.321396,45.623863,45.336693
0,4725,62.140682,44.774593,44.493744
0,4740,60.986053,43.944145,43.669563
0,4755,59.857132,43.13227,42.863857
0,4770,58.753494,42.338673,42.07633
0,4785,57.674717,41.563038,41.306644
0,4800,56.618885,40.803947,40.55228
0,4815,62.76052,45.57193,49.320217
0,4830,77.755936,58.7676,62.909355
0,4845,88.10281,67.672745,69.58368
0,4860,92.4673,70.54076,70.83787
0,4875,93.355896,70.181984,69.80667
0,4890,92.65639,68.69869,68.13994
0,4905,91.30829,67.003624,66.44026
0,4920,89.717415,65.3835,64.85997
0,4935,88.04852,63.887775,63.404762
0,4950,86.36707,62.498802,62.047394
0,4965,84.69931,61.189976,60.76189
0,4980,83.05606,59.940624,59.53011
0,4995,81.44208,58.737232,58.340683
0,5010,79.85955,57.571526,57.186768
0,5025,78.3095,56.43853,56.064236
0,5040,76.79237,55.33518,54.97052
0,5055,75.30825,54.2595,53.903915
0,5070,73.85701,53.210125,52.863213
0,5085,72.43834,52.18602,51.847466
0,5100,71.05184,51.186363,50.8559
0,5115,69.697044,50.210426,49.88782
0,5130,68.37341,49.257576,48.94262
0,5145,67.08037,48.327213,48.019707
0,5160,65.81732,47.41878,47.118538
0,5175,64.5832,46.531403,46.237816
0,5190,63.375202,45.66265,45.375244
0,5205,62.19352,44.812683,44.531605
0,5220,61.03794,43.98155,43.706738
0,5235,59.908085,43.169003,42.900368
0,5250,58.80353,42.374744,42.11218
0,5265,57.723854,41.598457,41.341854
0,5280,56.667145,40.83874,40.58686
0,5295,62.807922,45.606102,49.35419
0,5310,77.802536,58.8012,62.942764
0,5325,88.14863,67.70579,69.61654
0,5340,92.51234,70.57324,70.87017
0,5355,93.40017,70.21391,69.83842
0,5370,92.6999,68.73007,68.17121
0,5385,91.351036,67.034454,66.47092
0,5400,89.75946,65.413826,64.89012
0,5415,88.08982,63.917564,63.434376
0,5430,86.40766,62.528072,62.076492
